datetime,relative_humidity_2m
2025-06-18 00:00:00,74
2025-06-18 01:00:00,79
2025-06-18 02:00:00,72
2025-06-18 03:00:00,71
2025-06-18 04:00:00,65
2025-06-18 05:00:00,65
2025-06-18 06:00:00,67
2025-06-18 07:00:00,65
2025-06-18 08:00:00,58
2025-06-18 09:00:00,52
2025-06-18 10:00:00,45
2025-06-18 11:00:00,38
2025-06-18 12:00:00,40
2025-06-18 13:00:00,41
2025-06-18 14:00:00,41
2025-06-18 15:00:00,44
2025-06-18 16:00:00,42
2025-06-18 17:00:00,41
2025-06-18 18:00:00,44
2025-06-18 19:00:00,48
2025-06-18 20:00:00,51
2025-06-18 21:00:00,57
2025-06-18 22:00:00,60
2025-06-18 23:00:00,64
2025-06-19 00:00:00,68
2025-06-19 01:00:00,68
2025-06-19 02:00:00,70
2025-06-19 03:00:00,76
2025-06-19 04:00:00,77
2025-06-19 05:00:00,77
2025-06-19 06:00:00,76
2025-06-19 07:00:00,71
2025-06-19 08:00:00,63
2025-06-19 09:00:00,50
2025-06-19 10:00:00,41
2025-06-19 11:00:00,34
2025-06-19 12:00:00,29
2025-06-19 13:00:00,27
2025-06-19 14:00:00,29
2025-06-19 15:00:00,31
2025-06-19 16:00:00,33
2025-06-19 17:00:00,35
2025-06-19 18:00:00,37
2025-06-19 19:00:00,42
2025-06-19 20:00:00,48
2025-06-19 21:00:00,55
2025-06-19 22:00:00,60
2025-06-19 23:00:00,66
2025-06-20 00:00:00,69
2025-06-20 01:00:00,74
2025-06-20 02:00:00,75
2025-06-20 03:00:00,75
2025-06-20 04:00:00,74
2025-06-20 05:00:00,74
2025-06-20 06:00:00,75
2025-06-20 07:00:00,71
2025-06-20 08:00:00,64
2025-06-20 09:00:00,56
2025-06-20 10:00:00,47
2025-06-20 11:00:00,40
2025-06-20 12:00:00,34
2025-06-20 13:00:00,34
2025-06-20 14:00:00,32
2025-06-20 15:00:00,30
2025-06-20 16:00:00,31
2025-06-20 17:00:00,34
2025-06-20 18:00:00,37
2025-06-20 19:00:00,40
2025-06-20 20:00:00,42
2025-06-20 21:00:00,47
2025-06-20 22:00:00,56
2025-06-20 23:00:00,63
2025-06-21 00:00:00,69
2025-06-21 01:00:00,74
2025-06-21 02:00:00,72
2025-06-21 03:00:00,73
2025-06-21 04:00:00,71
2025-06-21 05:00:00,70
2025-06-21 06:00:00,71
2025-06-21 07:00:00,70
2025-06-21 08:00:00,48
2025-06-21 09:00:00,36
2025-06-21 10:00:00,31
2025-06-21 11:00:00,28
2025-06-21 12:00:00,31
2025-06-21 13:00:00,27
2025-06-21 14:00:00,25
2025-06-21 15:00:00,26
2025-06-21 16:00:00,31
2025-06-21 17:00:00,36
2025-06-21 18:00:00,42
2025-06-21 19:00:00,51
2025-06-21 20:00:00,55
2025-06-21 21:00:00,62
2025-06-21 22:00:00,69
2025-06-21 23:00:00,75
2025-06-22 00:00:00,78
2025-06-22 01:00:00,80
2025-06-22 02:00:00,82
2025-06-22 03:00:00,85
2025-06-22 04:00:00,88
2025-06-22 05:00:00,88
2025-06-22 06:00:00,83
2025-06-22 07:00:00,74
2025-06-22 08:00:00,65
2025-06-22 09:00:00,55
2025-06-22 10:00:00,44
2025-06-22 11:00:00,37
2025-06-22 12:00:00,35
2025-06-22 13:00:00,36
2025-06-22 14:00:00,38
2025-06-22 15:00:00,39
2025-06-22 16:00:00,41
2025-06-22 17:00:00,43
2025-06-22 18:00:00,43
2025-06-22 19:00:00,43
2025-06-22 20:00:00,45
2025-06-22 21:00:00,50
2025-06-22 22:00:00,57
2025-06-22 23:00:00,63
2025-06-23 00:00:00,67
2025-06-23 01:00:00,70
2025-06-23 02:00:00,73
2025-06-23 03:00:00,75
2025-06-23 04:00:00,76
2025-06-23 05:00:00,76
2025-06-23 06:00:00,74
2025-06-23 07:00:00,70
2025-06-23 08:00:00,65
2025-06-23 09:00:00,58
2025-06-23 10:00:00,49
2025-06-23 11:00:00,43
2025-06-23 12:00:00,41
2025-06-23 13:00:00,41
2025-06-23 14:00:00,41
2025-06-23 15:00:00,45
2025-06-23 16:00:00,45
2025-06-23 17:00:00,47
2025-06-23 18:00:00,54
2025-06-23 19:00:00,63
2025-06-23 20:00:00,72
2025-06-23 21:00:00,80
2025-06-23 22:00:00,86
2025-06-23 23:00:00,92
2025-06-24 00:00:00,96
2025-06-24 01:00:00,98
2025-06-24 02:00:00,99
2025-06-24 03:00:00,100
2025-06-24 04:00:00,100
2025-06-24 05:00:00,100
2025-06-24 06:00:00,98
2025-06-24 07:00:00,95
2025-06-24 08:00:00,89
2025-06-24 09:00:00,79
2025-06-24 10:00:00,66
2025-06-24 11:00:00,56
2025-06-24 12:00:00,50
2025-06-24 13:00:00,48
2025-06-24 14:00:00,46
2025-06-24 15:00:00,46
2025-06-24 16:00:00,47
2025-06-24 17:00:00,49
2025-06-24 18:00:00,53
2025-06-24 19:00:00,59
2025-06-24 20:00:00,65
2025-06-24 21:00:00,72
2025-06-24 22:00:00,80
2025-06-24 23:00:00,86
